name,handedness,height,weight,avg,HR,id
Ron Theobald,R,68,165,0.248,2,632
Luis Melendez,R,72,165,0.248,9,633
Carl Warwick,R,70,170,0.248,31,634
Junior Kennedy,R,71,175,0.248,4,635
Rod Gilbreath,R,74,180,0.248,14,636
Danny Thompson,R,72,183,0.248,15,637
Steve Nicosia,R,70,185,0.248,11,638
Mickey Stanley,R,73,185,0.248,117,639
Jim Sundberg,R,72,190,0.248,95,640
Ken McMullen,R,75,190,0.248,156,641
Butch Hobson,R,73,193,0.248,98,642
Joe Foy,R,72,215,0.248,58,643
Chico Salmon,R,70,160,0.249,31,644
Alex Trevino,R,70,165,0.249,23,645
Jerry Royster,R,72,165,0.249,40,646
Tito Landrum,R,71,175,0.249,13,647
Tom Grieve,R,74,190,0.249,65,648
John Orsino,R,75,215,0.249,40,649
Mike Edwards,R,70,154,0.25,2,650
Jimmy Wynn,R,70,160,0.25,291,651
Jake Wood,R,73,163,0.25,35,652
Paul Blair,R,72,168,0.25,134,653
Joe Strain,R,70,169,0.25,1,654
Jim Pankovits,R,70,170,0.25,9,655
Marv Breeding,R,72,175,0.25,7,656
Greg Pryor,R,72,180,0.25,14,657
Rick Bosetti,R,71,185,0.25,17,658
Denis Menke,R,72,185,0.25,101,659
Dick Bertell,R,72,200,0.25,10,660
Nick Esasky,R,75,200,0.25,122,661
Fran Healy,R,77,220,0.25,20,662
Andre Robertson,R,70,155,0.251,5,663
Lenny Faedo,R,72,170,0.251,5,664
Otto Velez,R,72,170,0.251,78,665
Mike de la Hoz,R,71,175,0.251,25,666
Rico Petrocelli,R,72,175,0.251,210,667
Tim Foli,R,72,179,0.251,25,668
Barry Evans,R,73,180,0.251,2,669
Rob Andrews,R,72,185,0.251,3,670
Benny Ayala,R,73,185,0.251,38,671
Jack Hiatt,R,74,190,0.251,22,672
Bobby Darwin,R,74,190,0.251,83,673
Jerry Martin,R,73,195,0.251,85,674
Doug Rader,R,74,208,0.251,155,675
Jerry Moses,R,75,210,0.251,25,676
Lynn Jones,R,69,175,0.252,7,677
Dave Chalk,R,70,175,0.252,15,678
Mike Hershberger,R,70,175,0.252,26,679
Tony Armas,R,71,182,0.252,251,680
Jerry Grote,R,70,185,0.252,39,681
Joe Azcue,R,72,190,0.252,50,682
Jim Hickman,R,75,192,0.252,159,683
Jerry Terrell,R,71,165,0.253,4,684
Larvell Blanks,R,68,167,0.253,20,685
Roy Foster,R,72,185,0.253,45,686
Terry Harper,R,76,195,0.253,36,687
Bill Melton,R,74,200,0.253,160,688
Gene Alley,R,70,160,0.254,55,689
Felix Torres,R,71,165,0.254,27,690
Ivan DeJesus,R,71,175,0.254,21,691
Bill Almon,R,75,180,0.254,36,692
Bob Boone,R,74,195,0.254,105,693
Sal Bando,R,72,195,0.254,242,694
Andre Thornton,R,75,200,0.254,253,695
Frank Taveras,R,72,155,0.255,2,696
Bob Dernier,R,72,160,0.255,23,697
Frank White,R,71,165,0.255,160,698
Ken Berry,R,72,175,0.255,58,699
Bo Diaz,R,71,185,0.255,87,700
Charlie James,R,73,195,0.255,29,701
Mike Shannon,R,75,195,0.255,68,702
Tommie Agee,R,71,195,0.255,130,703
Juan Bonilla,R,69,170,0.256,7,704
Billy Conigliaro,R,72,180,0.256,40,705
Ike Brown,R,72,190,0.256,20,706
Cito Gaston,R,75,190,0.256,91,707
Bob Oliver,R,75,205,0.256,94,708
Ray Fosse,R,74,215,0.256,61,709
Leo Cardenas,R,71,150,0.257,118,710
Mario Guerrero,R,70,155,0.257,7,711
Tommy Harper,R,69,165,0.257,146,712
Bob Randall,R,74,175,0.257,1,713
Julian Javier,R,73,175,0.257,78,714
Rich Dauer,R,72,180,0.257,43,715
Bob Bailey,R,73,180,0.257,189,716
Garth Iorg,R,71,170,0.258,20,717
Lou Johnson,R,71,170,0.258,48,718
Bill Robinson,R,74,189,0.258,166,719
Duane Josephson,R,72,190,0.258,23,720
Steve Brye,R,72,190,0.258,30,721
Bob Montgomery,R,73,195,0.258,23,722
Mike Andrews,R,75,195,0.258,66,723
Cliff Johnson,R,76,215,0.258,196,724
Jerry Morales,R,70,155,0.259,95,725
Bert Campaneris,R,70,160,0.259,79,726
Mickey Brantley,R,70,180,0.259,32,727
Doug DeCinces,R,74,190,0.259,237,728
Al Ferrara,R,73,200,0.259,51,729
Ron Jackson,R,72,200,0.259,56,730
Mark Brouhard,R,73,210,0.259,25,731
Jim Wohlford,R,71,175,0.26,21,732
Phil Garner,R,70,175,0.26,109,733
Jim Morrison,R,71,175,0.26,112,734
Julio Gotay,R,72,180,0.26,6,735
Ken Reitz,R,72,180,0.26,68,736
John Stearns,R,72,185,0.26,46,737
Bobby Valentine,R,70,189,0.26,12,738
Art Howe,R,74,190,0.26,43,739
Don Baylor,R,73,190,0.26,338,740
Ron Washington,R,71,155,0.261,20,741
Davey Johnson,R,73,170,0.261,136,742
Don Money,R,73,170,0.261,176,743
Elliott Maddox,R,71,180,0.261,18,744
Charlie Moore,R,71,180,0.261,36,745
Ron Cey,R,70,185,0.261,316,746
Dick Dietz,R,73,195,0.261,66,747
Jeff Burroughs,R,73,200,0.261,240,748
Rick Reichardt,R,75,210,0.261,116,749
Ted Sizemore,R,70,165,0.262,23,750
John Wockenfuss,R,72,190,0.262,86,751
Bill Freehan,R,75,203,0.262,200,752
John Wathan,R,74,205,0.262,21,753
Dave Engle,R,75,210,0.262,31,754
John Ellis,R,74,225,0.262,69,755
Manny Trillo,R,73,150,0.263,61,756
Cookie Rojas,R,70,160,0.263,54,757
Ed Charles,R,70,170,0.263,86,758
Davey Lopes,R,69,170,0.263,155,759
Bill Russell,R,72,175,0.263,46,760
Al Gallagher,R,72,180,0.263,11,761
Larry Parrish,R,75,190,0.263,256,762
Bob Bailor,R,71,170,0.264,9,763
Toby Harrah,R,72,175,0.264,195,764
Chuck Hinton,R,73,180,0.264,113,765
Junior Moore,R,71,185,0.264,7,766
Tony Conigliaro,R,75,185,0.264,166,767
Eric Soderholm,R,71,187,0.264,102,768
Joe Rudi,R,74,200,0.264,179,769
Ollie Brown,R,74,178,0.265,102,770
Joel Youngblood,R,72,180,0.265,80,771
Bombo Rivera,R,70,187,0.265,10,772
Dick Davis,R,75,190,0.265,27,773
Jim Fregosi,R,73,190,0.265,151,774
Mike Brown,R,74,195,0.265,23,775
Reid Nichols,R,71,165,0.266,22,776
Bobby Grich,R,74,180,0.266,224,777
Carl Taylor,R,74,200,0.266,10,778
Jeffrey Leonard,R,74,200,0.266,144,779
Joe Charboneau,R,74,205,0.266,29,780
Dave Concepcion,R,74,155,0.267,101,781
Barbaro Garbey,R,70,170,0.267,11,782
Bill Stein,R,70,170,0.267,44,783
Bubba Morton,R,70,175,0.267,14,784
Lee May,R,75,195,0.267,354,785
Mike Schmidt,R,74,195,0.267,548,786
Johnny Bench,R,73,197,0.267,389,787
Leon Roberts,R,75,200,0.267,78,788
David Green,R,75,170,0.268,31,789
Bobby Bonds,R,73,190,0.268,332,790
George Scott,R,74,200,0.268,271,791
Tony Horton,R,75,210,0.268,76,792
Tommy Helms,R,70,165,0.269,34,793
Ron Pruitt,R,72,185,0.269,12,794
Chris Brown,R,72,185,0.269,38,795
Rich Rollins,R,70,185,0.269,77,796
Mike Ivie,R,75,205,0.269,81,797
Walt Williams,R,66,165,0.27,33,798
Rufino Linares,R,72,170,0.27,11,799
Alan Bannister,R,71,170,0.27,19,800
Paul Dade,R,73,185,0.27,10,801
Dan Ford,R,73,185,0.27,121,802
Al Cowens,R,73,197,0.27,108,803
Sixto Lezcano,R,70,165,0.271,148,804
Dave Stapleton,R,73,178,0.271,41,805
Ray Knight,R,73,185,0.271,84,806
Merv Rettenmund,R,70,190,0.271,66,807
Bob Johnson,R,70,175,0.272,44,808
Bill Sample,R,69,175,0.272,46,809
Barry Bonnell,R,75,190,0.272,56,810
Rick Burleson,R,70,165,0.273,50,811
Ron Hunt,R,72,186,0.273,39,812
Chet Lemon,R,72,190,0.273,215,813
Larry Hisle,R,74,193,0.273,166,814
Willie Horton,R,71,209,0.273,325,815
Juan Beniquez,R,71,150,0.274,79,816
Rennie Stennett,R,71,160,0.274,41,817
George Foster,R,73,180,0.274,348,818
Larry Herndon,R,75,190,0.274,107,819
Donn Clendenon,R,76,209,0.274,159,820
Jose Cardenal,R,70,150,0.275,138,821
Danny Cater,R,72,170,0.276,66,822
Gary Ward,R,74,195,0.276,130,823
Greg Luzinski,R,73,220,0.276,307,824
Amos Otis,R,71,165,0.277,193,825
Gene Clines,R,69,170,0.277,5,826
Enos Cabell,R,76,170,0.277,60,827
Ron Santo,R,72,190,0.277,342,828
Bob Horner,R,73,195,0.277,218,829
Cesar Tovar,R,69,155,0.278,46,830
John Castino,R,71,175,0.278,41,831
Dusty Baker,R,74,183,0.278,242,832
Jim Ray Hart,R,71,185,0.278,170,833
George Hendrick,R,75,195,0.278,267,834
Ellis Valentine,R,76,205,0.278,123,835
Felix Millan,R,71,172,0.279,22,836
Tony Perez,R,74,175,0.279,379,837
Mike Vail,R,73,180,0.279,34,838
Buddy Bell,R,73,180,0.279,201,839
Keith Moreland,R,72,190,0.279,121,840
Jesus Alou,R,74,190,0.28,32,841
Steve Henderson,R,74,190,0.28,68,842
Mickey Hatcher,R,74,200,0.28,38,843
Cleon Jones,R,72,185,0.281,93,844
Gary Matthews,R,74,185,0.281,234,845
Wayne Nordhagen,R,74,205,0.282,39,846
Tom Paciorek,R,76,215,0.282,86,847
Damaso Garcia,R,73,165,0.283,36,848
Dave Cash,R,71,170,0.283,21,849
Glenn Beckert,R,73,190,0.283,22,850
Garry Maddox,R,75,175,0.285,117,851
Cesar Cedeno,R,74,175,0.285,199,852
Lee Lacy,R,73,175,0.286,91,853
Phil Bradley,R,72,185,0.286,78,854
Jose Morales,R,71,187,0.287,26,855
Richie Zisk,R,73,200,0.287,207,856
Lamar Johnson,R,74,215,0.287,64,857
Ron LeFlore,R,72,200,0.288,59,858
Alex Johnson,R,72,205,0.288,78,859
Hal McRae,R,71,180,0.29,191,860
Lou Piniella,R,72,182,0.291,102,861
Dick Allen,R,71,187,0.292,351,862
Thurman Munson,R,71,190,0.292,113,863
Steve Garvey,R,70,192,0.294,272,864
Bob Watson,R,72,201,0.295,184,865
Manny Sanguillen,R,72,193,0.296,65,866
Joe Torre,R,74,212,0.297,252,867
Jim Rice,R,74,200,0.298,382,868
Rico Carty,R,75,200,0.299,204,869
Manny Mota,R,70,160,0.304,31,870
Bill Madlock,R,71,180,0.305,163,871
